time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z
20.2,-0.059356508,-0.120393263,0.101924047,-0.061547762,0.496019703,-0.150815993
20.3,-0.05661899,-0.111721271,0.139874685,-0.162886658,0.446211029,-0.160583951
20.4,-0.05356926,-0.102370663,0.176502533,-0.262798545,0.392725739,-0.168620268
20.5,-0.050249232,-0.092376751,0.211551152,-0.360509844,0.336002245,-0.174826096
20.6,-0.046677871,-0.081842778,0.244774641,-0.455361722,0.276587657,-0.179191173
20.7,-0.042868594,-0.070904958,0.275936594,-0.546783537,0.215090154,-0.181763513
20.8,-0.038838567,-0.059685465,0.304813639,-0.634237973,0.152117678,-0.182602586
20.9,-0.034630126,-0.04826137,0.331202103,-0.717173438,0.088236266,-0.181743997
21,-0.030284105,-0.036668625,0.354924925,-0.795016624,0.023971011,-0.17919775
21.1,-0.025845024,-0.024937922,0.375834646,-0.86721247,-0.040154982,-0.174980415
21.2,-0.021351311,-0.013138174,0.39381139,-0.93328676,-0.103573435,-0.169159453
21.3,-0.016809291,-0.001397898,0.408757481,-0.99289222,-0.165651257,-0.161878925
21.4,-0.0122228,0.010111187,0.420592739,-1.045807723,-0.225716781,-0.153347859
21.5,-0.007594861,0.021220112,0.429253495,-1.091890156,-0.283120893,-0.143795853
21.6,-0.002944518,0.031812129,0.43469618,-1.131007076,-0.337301555,-0.133420182
21.7,0.001682934,0.041849189,0.436903628,-1.162987516,-0.387819075,-0.122352394
21.8,0.006234792,0.051364216,0.435890496,-1.187614083,-0.434350005,-0.110658343
21.9,0.010649574,0.060426988,0.431705298,-1.204654231,-0.4766487,-0.09836689
22,0.014874434,0.069102263,0.424428705,-1.213912446,-0.514500168,-0.085509619
22.1,0.018867687,0.07741652,0.414169014,-1.21527795,-0.547683308,-0.072154805
22.2,0.022617233,0.085340131,0.401056797,-1.208757681,-0.575952393,-0.058427226
22.3,0.026121481,0.092784502,0.38523949,-1.194490589,-0.599036885,-0.044513377
22.4,0.029401292,0.099612394,0.366876529,-1.172743374,-0.616655678,-0.030653369
22.5,0.032481988,0.105661636,0.346135586,-1.143888493,-0.628548052,-0.017118759
22.6,0.03538724,0.11078132,0.323190757,-1.108358916,-0.63451769,-0.004176248
22.7,0.038125536,0.114872852,0.298223621,-1.066590068,-0.634482419,0.007956039
22.8,0.040683727,0.117920055,0.271426981,-1.018964653,-0.628508671,0.019144353
22.9,0.043023263,0.119992071,0.243009301,-0.965787148,-0.616812933,0.029349646
23,0.045101733,0.121213683,0.213197228,-0.907302159,-0.599722732,0.038604142
23.1,0.046882113,0.121714456,0.182233702,-0.84375029,-0.57761261,0.04696308
23.2,0.048338339,0.121580735,0.150371702,-0.775433564,-0.550843818,0.054454714
23.3,0.049477219,0.120833247,0.11786586,-0.70275747,-0.519735454,0.061052806
23.4,0.050315955,0.119438579,0.084965282,-0.62623043,-0.484575828,0.066682703
23.5,0.050879695,0.117343827,0.051909828,-0.546425112,-0.445661706,0.071253314
23.6,0.051180038,0.114513615,0.018930086,-0.463926512,-0.403338599,0.074694695
23.7,0.051234851,0.110951571,-0.01375066,-0.379292518,-0.358022215,0.076982475
