"time,linear_x,linear_y,linear_z,rotation_x,rotation_y,rotation_z"
"1813.1,-0.03258146,-0.070075989,-0.257161293,0.179426148,-0.266723129,0.071807933"
"1813.2,-0.030006539,-0.081031322,-0.243993435,0.210346614,-0.24391518,0.073123925"
"1813.3,-0.027198922,-0.091359615,-0.228664074,0.23988254,-0.21901826,0.073861492"
"1813.4,-0.024147164,-0.100971222,-0.211268578,0.267749445,-0.192201803,0.073957729"
"1813.5,-0.020851266,-0.109773159,-0.191941414,0.293671214,-0.16366654,0.073360854"
"1813.6,-0.017349373,-0.11768055,-0.170878086,0.317434669,-0.13368237,0.072068167"
"1813.7,-0.013698708,-0.124621868,-0.148328934,0.338912759,-0.102590048,0.070135777"
"1813.8,-0.009975564,-0.13054657,-0.124569092,0.358042652,-0.070764869,0.067654918"
"1813.9,-0.006252419,-0.135416985,-0.099856529,0.374776348,-0.038565619,0.064711227"
"1814,-0.002559792,-0.139204025,-0.074412975,0.389036503,-0.00629961,0.061353255"
