activation,apply_batchnorm,conv_kernel_sizes,conv_layers,dropout,fc_layers,lr,lr_patience,target_weights_0,target_weights_1,target_weights_2,target_weights_3,target_weights_4,loss,status,training_time
relu,False,"[13, 11, 9, 7]","[64,]*4",0.20756771778630373,"[256,]*2",0.0002825104809551532,10,1.0506547838348665,0.8934364494572745,1.1040337665392213,0.787535567534806,0.5031860234163356,0.002956370247135821,ok,1152.7494821548462
relu,True,"[13, 11, 9, 7]","[64,]*4",0.16049046022094146,"[2048, 1024]",0.0004378268150993283,10,0.9504149039798826,0.581703295162745,1.1546958944059516,0.5932107518898557,0.642542290363062,0.0021467572078108788,ok,1341.0177919864655
relu,True,"[13, 11, 9, 7]","[64,]*4",0.24542518716858597,"[256,]*2",0.0008774868569257233,10,1.2088532109656627,0.5022539215076093,1.0031442902611276,0.501654164647039,0.8817001764428622,0.0032379738128695047,ok,1295.5552656650543
relu,False,"[13, 11, 9, 7]","[64,]*4",0.11902968159647286,"[1024,]*2",0.00010176731349911687,10,1.0667923907432826,1.0617981438141941,0.8265200928812707,0.6819655869155999,0.5562995028991089,0.0025248326312162376,ok,1183.1872472763062
relu,True,"[9,]*4","[64,]*4",0.2201099325918758,"[1024, 512]",0.00019181496618675116,10,0.978337596388912,0.7127853262157995,1.1895017938441161,0.838377913842383,0.7534030821203124,0.003151433119599364,ok,1134.8196625709534
relu,True,"[13, 11, 9, 7]","[64,]*4",0.16965544613918193,"[256,]*2",0.00033585734092613406,10,1.2669777639209072,0.9121216740821877,0.7611821134494859,0.6897138765455407,0.6489310781995523,0.0028427397329850415,ok,1296.0338129997253
relu,False,"[13, 11, 9, 7]","[64,]*4",0.3335527100272422,"[512,]*2",0.0009483105181695913,10,1.183753305761427,0.8149074333512982,0.9443436528727381,0.57673269659525,0.5074965774575232,0.0027462216829390903,ok,1139.6414399147034
relu,True,"[9,]*4","[8,]*4",0.13289118173990322,"[256,]*2",0.0005493982585758024,10,0.935130721906615,1.1734039437292765,1.024119153301019,0.6523662140284064,1.4534072227832258,0.0070672079822734785,ok,381.31920623779297
relu,True,"[13, 11, 9, 7]","[64,]*4",0.2594931852899615,"[1024, 2048]",0.00026277294863718805,10,1.3023535801335082,0.854305940168034,0.8920703341311518,0.5405969727893981,0.8627188112751555,0.0033249149564653635,ok,1327.2192492485046
relu,True,"[7,]*4","[64,]*4",0.40551792212330573,"[1024,]*2",0.0004373916441844827,10,1.060019268323608,0.7383090172818796,0.5947770345432681,0.7407163732455815,0.5654822696217422,0.002563522038000979,ok,987.0033967494965
relu,False,"[11, 9, 7, 5]","[64,]*4",0.47355444077267506,"[2048, 1024]",0.000185732907583413,10,0.7299698828977671,0.5960751781287886,1.1260303991237237,0.7903544306930603,0.7595778886183145,0.0030598630270871675,ok,1025.0180871486664
relu,True,"[13, 11, 9, 7]","[8,]*4",0.2728612551580763,"[128,]*2",0.0007224665156507038,10,1.0996693082359905,0.9414683642162526,1.4453068642627307,0.5461436286389131,0.6195351558391844,0.0027173126214428953,ok,417.0090398788452
relu,True,"[9,]*4","[16,]*4",0.2419169415943898,"[2048,]*2",0.0001315389698291557,20,1.008869861898398,0.7648114431727395,1.056451928871715,0.5064230682708055,0.9352509548750556,0.003703956118490743,ok,444.67265033721924
relu,True,"[5,]*4","[64,]*4",0.18849115050544743,"[256,]*2",8.394073653370637e-05,10,0.891980674402664,0.6852477688842641,1.1898222228388027,0.8420654510450458,0.7284795478528083,0.003528028187391005,ok,819.0271534919739
relu,True,"[11,]*4","[32,]*4",0.3390122862010599,"[1024, 512]",0.0010609516320624446,10,1.2006963421299233,1.2420314246251836,0.9655401223565381,0.7196587468304607,1.1404669974370274,0.005314426300557036,ok,581.5009100437164
elu,False,"[7,]*4","[64,]*4",0.07917047972344723,"[256,]*2",0.0018320892769177171,20,1.4958351491260728,0.5001084619401667,0.8282835120471725,0.6283412071905226,0.8334605588864548,0.004478118958343801,ok,824.4447474479675
relu,True,"[11, 9, 7, 5]","[8,]*4",0.3808988874095731,"[1024,]*2",0.00023031128980895973,10,0.8515680967471927,0.563290088944827,0.7700917254822507,0.9663006392028108,1.395195688592556,0.008019974724830766,ok,388.40501070022583
